name,transcript
123500_NaimaF.wav,j'aimerais transférer trois mille cinq cent soixante quatre dollars de mon compte chèque à mon car départ je l'ai versé cent quatre vingt dix neuf dollars à début de chaque mois sur mon compte d'elle
123501_NaimaF.wav,de transfert six mille dollars sept cent quatre un et neuf mille neuf cent soixante onze dollars de mon compte si le onze novembre
123502_NaimaF.wav,trois transfert de cinquante et un mille sept cent soixante six dollars et six mille six cent cinquante deux dollars de mon compte celui le vingt neuf décembre une fois cette année
123503_NaimaF.wav,quatre transfert deux mille treize dollars ramon contraire au premier janvier a menti
123504_NaimaF.wav,cinq je vais faire un dépôt de cinq mille deux cent quarante trois dollars réussi trente sept mille dollars et quatre cent soixante cinq le dix huit novembre deux mille vingt et un
123505_NaimaF.wav,je dois faire un transfert international de trois mille six cent soixante six dollars à mon oncle à québec le trente et un octobre deux mille vingt et
123506_NaimaF.wav,j'aimerais cédule mon mensuel de vingt sept dollars et cinquante cinq sous qui se traversée tous les quinze du mois à partir d'octobre
123507_NaimaF.wav,huit j'aime schéduler un paiement mensuel de soixante cinq dollars et trente trois sous qui sera versé tous les vingt neuf du mois à partir de mars deux mille vingt deux
123508_NaimaF.wav,neuf transfère cinq mille quatre vingt dollars à mon compter le seize avril deux mille vingt
123509_NaimaF.wav,ou moi j'aimerais transférer deux mille soixante dix sept dollars à trois rivières s'il vous plait de manquante américain de dix huit décent
123510_NaimaF.wav,un transfert trente trois mille cent douze dollars et trente trois mille deux cent quatorze dollars
123511_NaimaF.wav,je m'a transféré quatre mille six cent cinquante quatre dollars de mon coche man on d'épargne j'aimerais aussi verser trois cent quatre vingt dix huit dollars à la fin de a moi sur mon compte
123512_NaimaF.wav,aie transfert huit mille dollars et huit cent soixante dix à mon contraire et un autre neuf mille soixante onze dollars et cinquante six sous de mon quant cédé le onze
123513_NaimaF.wav,quatorze enfer de trente et un mille neuf cent dix dollars et quatre mille quatre cent cinquante deux dollars de mon compte si le vingt trois décembre une fois cette année
123514_NaimaF.wav,think transfère cinq mille douze dollars à mon contraire le premier février deux mille vingt
123515_NaimaF.wav,seize je vais faire un dépôt de quatre vingt dix mille deux cent quarante trois dollars et un autre trente neuf mille dollars et trois cent soixante et un le vingt trois novembre deux mille vingt et
123516_NaimaF.wav,dix sept je ai effectuer un transfert international de huit mille six cents six dollars à mon oncle à paris le trente juin deux mille vingt et un
123517_NaimaF.wav,dix huit j'aimerais schéduler un paiement mensuel de trente neuf dollars et soixante huit sous qui sera versé tous les valus du mois à partir d'octobre
123518_NaimaF.wav,dix neuf j'aime reschéduler un de mon mensuel de soixante neuf dollars et cinquante neuf sous qui sera versé tous les quatorze du mois à partir de mars deux mille vingt deux
123519_NaimaF.wav,vingt transférer trente et un mille et quatre dollars à mon contraire au seize avril deux mille vingt deux
123520_NaimaF.wav,vingt et un moi j'aimerais transférer deux mille soixante dix huit dollars s'il vous plait de mon compte américain le dix sept décembre
123521_NaimaF.wav,vingt deux transféré trente cinq mille cent trente dollars et aussi trente trois mille neuf cent vingt dollars
